OID_,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,X,Y
,3.000000000000000,Brooklyn,047,BK88,Borough Park,54005019.048000000417233,39247.227830900003028,-73.988661230600002,40.630949655400002
,4.000000000000000,Queens,081,QN51,Murray Hill,52488277.846000000834465,33266.904796700000588,-73.809545901199996,40.768351588000002
,4.000000000000000,Queens,081,QN27,East Elmhurst,19726845.628199998289347,19816.712073599999712,-73.868395598299998,40.763352201200000
,4.000000000000000,Queens,081,QN07,Hollis,22887772.865200001746416,20976.335573899999872,-73.761137051000006,40.710639333899998
,1.000000000000000,Manhattan,061,MN06,Manhattanville,10647077.526399999856949,17040.685412899998482,-73.953781992200007,40.817975566100003
,3.000000000000000,Brooklyn,047,BK25,Homecrest,29991967.276099998503923,27514.022916300000361,-73.964333668400002,40.599954285800003
,2.000000000000000,Bronx,005,BX59,Westchester-Unionport,23945209.775400001555681,26557.409325600001466,-73.848642691699993,40.832100410199999
,2.000000000000000,Bronx,005,BX10,Pelham Bay-Country Club-City Island,40134533.266400001943111,138249.436420000012731,-73.806537467699997,40.846568046300000
,2.000000000000000,Bronx,005,BX52,Schuylerville-Throgs Neck-Edgewater Park,88439964.044200003147125,91304.794868800003314,-73.823588039200004,40.823332397900003
,4.000000000000000,Queens,081,QN41,Fresh Meadows-Utopia,27774853.417399998754263,22106.431272099998750,-73.783716361100005,40.734894486400002
,4.000000000000000,Queens,081,QN08,St. Albans,77412748.110300004482269,45401.316950799999177,-73.763146074900007,40.691201835100003
,4.000000000000000,Queens,081,QN25,Corona,20080371.464000001549721,23870.154026399999566,-73.858370255200001,40.742350816600002
,4.000000000000000,Queens,081,QN06,Jamaica Estates-Holliswood,42789975.846199996769428,35465.974926000002597,-73.776100627399998,40.720655356000002
,3.000000000000000,Brooklyn,047,BK44,Madison,27379162.082499999552965,26237.257857600001444,-73.948135594700005,40.604913595600003
,3.000000000000000,Brooklyn,047,BK41,Kensington-Ocean Parkway,15893304.955499999225140,20800.752356799999689,-73.976199025699998,40.640590145600001
,3.000000000000000,Brooklyn,047,BK95,Erasmus,14522603.591499999165535,18756.701864599999681,-73.951623382899996,40.646116419999998
,2.000000000000000,Bronx,005,BX33,Longwood,10732452.179400000721216,18982.129655400000047,-73.898956777899997,40.819675066300000
,3.000000000000000,Brooklyn,047,BK69,Clinton Hill,20528197.122099999338388,23971.465904900000169,-73.962363323399998,40.687966812799999
,4.000000000000000,Queens,081,QN33,Cambria Heights,33076797.822900000959635,26168.270087600001716,-73.735554191700004,40.694341476200002
,3.000000000000000,Brooklyn,047,BK43,Midwood,35799574.384999997913837,27996.590611600000557,-73.956824580800003,40.620924039199998
,4.000000000000000,Queens,081,QN61,Jamaica,47308036.545100003480911,43696.364725599996746,-73.793979668199995,40.704368757700003
,4.000000000000000,Queens,081,QN01,South Jamaica,39971928.943199999630451,32122.552356799998961,-73.790963878300005,40.694427467600001
,3.000000000000000,Brooklyn,047,BK26,Gravesend,31341950.280699998140335,39922.674377399998775,-73.981430504000002,40.588402818100001
,3.000000000000000,Brooklyn,047,BK29,Bensonhurst East,35777947.586199998855591,33903.245444899999711,-73.983537512900000,40.601429220100002
,3.000000000000000,Brooklyn,047,BK72,Williamsburg,11589988.136499999091029,16874.433845999999903,-73.958596747800001,40.703916526100002
,3.000000000000000,Brooklyn,047,BK75,Bedford,32629788.977200001478195,29992.923799500000314,-73.949905021099994,40.691507497800004
,3.000000000000000,Brooklyn,047,BK35,Stuyvesant Heights,31406935.853000000119209,28239.080766800001584,-73.931888206500005,40.688168243100002
,3.000000000000000,Brooklyn,047,BK46,Ocean Parkway South,17782095.756200000643730,21975.997318900001119,-73.970325800200001,40.617314960599998
,3.000000000000000,Brooklyn,047,BK79,Ocean Hill,20089914.372999999672174,22494.582093699998950,-73.913647510199993,40.676637616900003
,3.000000000000000,Brooklyn,047,BK61,Crown Heights North,51619074.703199997544289,35635.543252600000415,-73.939287174200004,40.674469370200001
,3.000000000000000,Brooklyn,047,BK63,Crown Heights South,15989888.788200000301003,24192.455931899999996,-73.948783990400003,40.666538797599998
,3.000000000000000,Brooklyn,047,BK96,Rugby-Remsen Village,32706946.281500000506639,30957.854296599998634,-73.922250973700002,40.652364804199998
,2.000000000000000,Bronx,005,BX31,Allerton-Pelham Gardens,31693044.329399999231100,25467.117422899998928,-73.847425142700004,40.864472278699999
,3.000000000000000,Brooklyn,047,BK93,Starrett City,11598952.324100000783801,17414.782424000000901,-73.882412598900004,40.647526284199998
,3.000000000000000,Brooklyn,047,BK91,East Flatbush-Farragut,34360864.271099999547005,39201.038212100000237,-73.937929837100000,40.643946970800002
,4.000000000000000,Queens,081,QN20,Ridgewood,50495176.294600002467632,40608.513197699998273,-73.901715410600005,40.706531363499998
,3.000000000000000,Brooklyn,047,BK78,Bushwick South,40169452.362800002098083,40735.742178699998476,-73.925114725699999,40.696458816300002
,3.000000000000000,Brooklyn,047,BK77,Bushwick North,24927927.179299999028444,26321.626916000001074,-73.917766011599994,40.700560683200003
,3.000000000000000,Brooklyn,047,BK68,Fort Greene,16482821.539100000634789,19825.520887400001811,-73.974881479499999,40.690795105100001
,4.000000000000000,Queens,081,QN68,Queensbridge-Ravenswood-Long Island City,23317032.756599999964237,27067.652866699998413,-73.938749526699993,40.757561768800002
,2.000000000000000,Bronx,005,BX08,West Farms-Bronx River,15084986.176300000399351,17477.294757100000425,-73.872287208399996,40.834165101899998
